Timestamp,Titre de la session | Title,Résume | Abstract,Quels bénéfices vont en retirer les participants ? | What will be the benefits for the participants?,Niveau | Level,Format | Format,Thème,Nombre de participants maxi | Maximum number of participants,"Dispositions particulières de la salle, Remarques | Room requirements, Remarks.",Prénom | First Name,Nom | Last Name,Entreprise | Company,Web site / Blog / Twitter...,Bio | Biography,Prénom | First Name,Nom | Last Name,Entreprise | Company,Web site / Blog / Twitter...,Bio | Biography,Prénom | First Name,Nom | Last Name,Entreprise | Company,Web site / Blog / Twitter...,Bio | Biography,Prénom | First Name,Nom | Last Name,Entreprise | Company,Web site / Blog / Twitter...,Bio | Biography,Durée | Duration,Interne: mail de confirmation envoyé à l'orateur
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2012 13:51:59,Approche pragmatique pour industrialiser le développement d’applications,"Aujourd’hui, alors que le marché ne parle plus que d’industrialisation, la réalité des équipes de développement ne s’est pas éloignée de l’artisanat. Pendant des années, de nombreux éditeurs de logiciel se sont escrimés sur le sujet, proposant des méthodes très riches, systémiques, souvent inutilisables sans mettre en œuvre des outils si complexes qu’un individu normalement constitué ne pouvait les appréhender. Si complexes qu’après être utilisés en début de projet, au prix d’efforts extrêmes, ils étaient rapidement mis au placard.

Nous avons tous en tête quelques projets qui ont pris un mauvais tournant. Ces projets sont riches d’enseignement, mais souvent délaissés : on préfère enterrer les problèmes plutôt que de les disséquer.

Si une méthode garantissait le succès d’un projet, cela se saurait. Les intégristes de la méthode, s’ils existent encore, sont en voie de disparition. Lorsque toute l’énergie de l’équipe se focalise sur le respect aveugle d’une méthode, le risque que la cible initiale (réussir le projet) se déplace loin des exigences du terrain est très fort. La méthode doit rester un support au projet, un accélérateur structurant, un guide de formateur, un outil pour capitaliser les bonnes pratiques, la bonne méthode est celle qui est tellement en osmose avec le quotidien des équipes, croire qu’une équipe peur réussir à mettre en pratique une méthode sans le support d’outils relève de l’utopie. Mais croire qu’une méthode va réussir parce qu’on a mise en place des outils dont l’objectif principal est de mettre en œuvre une méthode l’est tout autant.

Pour conclure la réflexion, la confusion la plus importante serait de croire qu’un bon mixte Outils-Méthodes suffit pour s’affranchir de tout problème. Le premier facteur clé de succès d’un projet, ce sont les hommes. Penser que les référentiels d’amélioration des processus, les méthodes et les outils favorisent une industrialisation capable de réduire les individus à des simples pions facilement remplaçables et externalisables serait une grave erreur.

Au contraire. Méthodes et outils doivent permettre aux individus d’exprimer pleinement leur potentiel en réduisant et en automatisant les tâches à faible valeur ajoutée, en fournissant un support transverse de collaboration et de workflow et des gains de productivité. C’est la somme des potentiels individuels, bien coordonnés, qui garantit le succès final du projet.","Réussir l'adoption des pratiques agiles ainsi l’industrialisation de développement avec un équilibre Méthode, Outil, Hommes","Débutant | Beginner, Confirmé | Skilled, Expert | Expert",Conférence | Conference,DevOps | DevOps,,,Hicham,AIT BASLAM,,http://haitbaslam.wordpress.com,"Une expérience de plus de 11 ans, passée dans le conseil et le management de projets complexes à traiter de problématique d’intégration et d’architecture SI (FrontOffice, Backoffice), de refonte en SI Agile, d’apports de conseil et de méthode à la maîtrise d’ouvrage et maîtrise d’oeuvre. Elle est constituée sur le terrain par de nombreuses missions (Refonte SI Stratégique, Transformation SI, Urbanisation et Architecture SI, Architecture SOA et agilité SI, Solutions E-Business, Nouvelle expérience utilisateurs RIA, Industrialisation et usine de développement, Adoption et pratique des méthodes agiles, Management de projets complexes, Business développement de plusieurs SSII, développement de nouvelles offres sur le marché). Toutes ces expériences m’ont permis d’avoir une vision générale des systèmes d’information éclairés sous différents angles et sur les solutions globales à haute valeur ajoutée.

Aujourd’hui, je me consacre entièrement à accompagner les entreprises à réussir l'agilité de leur SI et à la traduction de la vision stratégique en résultat.",,,,,,,,,,,,,,,,50 minutes,OK le 29/05
6/3/2012 14:40:57,Challenge Kanban,"Vous voulez découvrir le Kanban par la pratique?
Vous voulez savoir combien de dollars vous allez gagner avec votre nouvelle start-up en 21 jours? Et si vous ferez-vous les bons choix d'injection, de sélection ou d'allocation pour établir le nouveau record?

Alors venez relever le challenge atelier Kanban!","Vous y découvrirez comment fonctionne un système kanban avec ses limites kanban, les classes de service et les cartes de contrôles avec cet atelier ",Débutant | Beginner,Atelier pratique / Jeu | Practical Workshop / Game,Kanban,12,Pouvoir organiser les tables par équipe,Laurent,morisseau,Morisseau Consulting,"Site web : www.morisseauconsulting.com
Twitter : @lmorisseau","Coach et formateur Agile/Kanban
Certified Scrum Coach
Co-fondateur fédération agile
Fondateur AgileRennes et Agile Breizh",,,,,,,,,,,,,,,,120 minutes,OK le 04/06
6/9/2012 18:53:38,Duo de retour d’expérience sauce aigre douce ,"Alexis et Bruno vous proposent la représentation sur scène, et ce pour la première fois en France, des meilleurs moments de deux missions de coaching agile. La première est une réussite comme on peut les lire dans les meilleurs ouvrages... La seconde est un échec, ou plutôt une longue suite d’échecs... Les deux combinées représentent une occasion d’apprendre, de partager et d’améliorer votre pratique des méthodes agiles.","La mise en scène de situations typiques que l'on rencontre lors de la transition vers une utilisation des méthodes agiles permet aux différents publics de prendre conscience des enjeux de cette transformation.
Les participants vont également apprendre en se distrayant.
Ils vont aussi pouvoir dédramatiser l'échec.","Débutant | Beginner, Confirmé | Skilled, Expert | Expert",REX - Retour d'Expérience | Experience Reports,"Management | Management, Amélioration Continue | Continuous Improvement",50 (si en format atelier 120 min) pas de limite si format court,,Alexis,Monville,Ayeba,"Blog : http://alexis.monville.com
Société : Ayeba - http://ayeba.fr

Twitter : http://twitter.com/alexismonville","20 ans d’expérience, depuis l’industrie automobile, l’épopée du démarrage d’Internet, le conseil, le secteur public, qui l’ont amené à fonder Ayeba, société de conseil en organisation combinant les domaines humain, management et digital pour accompagner la réussite des entreprises. Impliqué dans le monde associatif et conférencier dans les domaines du management, des méthodes agiles et du numérique.

Vous pouvez revivre l’expérience des billes rouges grâce à ce résumé vidéo enregistré lors de l’AgileTour Bordeaux : http://ayeba.fr/2011/11/experience-des-billes-rouges-2/",Bruno,Sbille,ELLIBS SPRL,"http://brunosbille.com (Blog)

http://twitter.com/BrunoSbille","Je suis dans la consultance IT et Business depuis plus de 13 ans. En plus de mes expériences de développeurs et de chef de projet, j'ai pu découvrir de nouveaux ustensiles à ajouter dans ma boîte à outils : Scrum, Agile, la PNL, le Coaching, Le ""People Management"", Diverses Techniques de Créativité etc...

Je blogue régulièrement sur Scrum, Agile et le Management. 
http://brunosbille.com (Scrum and Agile in Belgium)

J'ai également produit (à l'aide de mon équipe) cette Vidéo dont le but est de promouvoir Scrum et les méthodes Agile. http://vimeo.com/4587652 (Scrum in the real world, an AGILE movie)",,,,,,,,,,,50 minutes,OK le 10/06
6/4/2012 11:28:20,L’agilité^3 chez un éditeur de logiciel,"Comment un éditeur de logiciel s’est inscrit dans l’agilité^3 :
- En créant un produit de gestion de projet Agile
- Sur une plateforme de développement Agile
- Avec une méthode Agile","Cette session sera l’occasion de mesurer les apports des méthodes agiles en miroir des expériences de la R&D de l’éditeur dans le cadre du développement d’un nouveau produit.

C’est une occasion d’interagir directement avec un éditeur de logiciel qui parlera non seulement de la méthode, mais aussi d’un résultat de l’agilité par l’agilité pour l’agilité : on atteint presque un niveau « meta » que les informaticiens apprécient. C’est une démarche d’autant plus intéressante qu’elle s’inscrit dans le cadre de la création d’un nouveau logiciel qui a pour vocation à intéresser les participants eux-mêmes dans leur travail au quotidien autour de l’agilité.

Cet exposé permettra aux différents participants de comprendre comment un éditeur de logiciel français et francophone a évolué dans ses réflexions autour des méthodologies de développement, pour arriver à la maturité de l’agilité : Quel cheminement, quelles étapes, quelles expériences ?","Débutant | Beginner, Confirmé | Skilled, Expert | Expert",REX - Retour d'Expérience | Experience Reports,"Management | Management, Gestion de produit / portfolio Agile | Agile product/portfolio management",,,Jean-Loup,COMELIAU,W4,www.w4.eu,"Jean-Loup Comeliau received his masters in computer engineering from Supinfo Paris. He then worked for 10 years in a leading consulting firm, where he worked as a software engineer and a project leader on  telecommunication projects. He then spent 6 years in the US where he works for various San Francisco based  startups in the field of telecommunications, and received his MBA  from the Kelley School of Business (University of Indiana). He joined W4 in 2006 as a consultant and project manager, and is now a product manager. He was involved in different European projects such as ServFace and SERENOA",,,,,,,,,,,,,,,,50 minutes,OK le 04/06
6/7/2012 8:37:50,Comment faire pour rendre une organisation agile?,"Est-il possible de changer son système d’exploitation organisationnel de sorte que l’agilité devienne possible dans toute l’organisation? La réponse est oui mais cela nécessite de remplacer l’ancien système d’exploitation “sous-jaçent” - le noyau dur de l’organisation, la structure, le système de pouvoir en place, les processus de prise de décision - par un nouveau système d’exploitation organisationnel qui inclut - des processus de prise de décision rapides, une nouvelle structure organique, un nouveau système de pilotage dynamique centré sur la réalité, une clarté sur les autorités en jeu, de nouvelles capacités à gérer les tensions et les transformer en évolutions pertinentes de l’organisation, une nouvelle conscience de ce que sont les organisations... Le système que je vais vous présenter s’appelle l’Holacracy®.
L’Holacracy est un “système d’exploitation” organisationnel - une nouvelle technologie sociale pour piloter des entreprises agiles et centrées sur leur raison d’être.

Remarque: possibilité d'ajuster la conférence en fonction du temps alloué. La durée de 120 minutes n'est pas fixe. En fonction du temps donné, l'intervenant pourra ou non proposer une expérimentation de réunion.","Comprendre comment mettre en place l'agilité dans une organisation avec cette nécessité de d'abord en changer la structure et le système d’exploitation. Explorer & découvrir - par l'expérience - des méthodes, processus et outils qui permettent cela.",Débutant | Beginner,Conférence | Conference,Management | Management,Pas de limite,,Bernard Marie,Chiquet,Integral Governance Institute,"Web site: www.integralgovernance.com
Facebook: https://www.facebook.com/integralgovernance
Twitter: https://twitter.com/#!/IntegralGI","Bernard Marie CHIQUET a été entrepreneur plusieurs fois dirigeant de grandes entreprises : Executive Director chez CAPGEMINI, Senior Partner chez Ernst & Young,President chez Eurexpert.
Dans un deuxième volet de sa carrière, il a acquis une compétence d’executive coach (HEC), de médiateur (CAP’M) et de coach en Holacracy.
Formateur et consultant en organisations, centré sur l'évolution des modes de gouvernance,  Bernard Marie CHIQUET est le fondateur de l’Institut de la Gouvernance Intégrale (IGI), crée en 2007. Aujourd’hui via IGI, il consacre son activité à l’accompagnement des entreprises pour une mise en place de  l’Holacracy et à la formation individuelle à ce mode gouvernance.",,,,,,,,,,,,,,,,120 minutes,OK le 07/06
6/10/2012 14:30:28,Des Jeux Agile...en veux-tu ? En voilà !,"Les jeux Agile (parfois appelés Serious Games ou Agile Games) sont de plus en plus utilisés. Non seulement dans les formations, mais aussi dans les entreprises.

Les jeux Agile c'est une manière ludique et puissante d'apprendre. Apprendre des principes Agile certes, mais aussi des principes essentiels comme la collaboration, l'écoute ou la confiance.

L'objectif de cette session est de jouer un maximum de (courts) jeux Agile tous ensemble.

Venez avec l'envie...d'expérimenter :-)
","- Découvrir ce que l'on entend par ""jeux Agile""
- Apprendre de nouveaux jeux Agile
- Expérimenter différents jeux et ressentir lesquels vous parlent le mieux
- Avoir une expérience ou se mêlent amusement et apprentissage
","Débutant | Beginner, Confirmé | Skilled, Expert | Expert",Atelier pratique / Jeu | Practical Workshop / Game,"Management | Management, Gestion de produit / portfolio Agile | Agile product/portfolio management, Amélioration Continue | Continuous Improvement, DevOps | DevOps, N.M.A. (Non-Mainstream Agile = Agile non-scrum et/ou non-logiciel | Non-scrum and/or non-software Agile)",entre 30 - 40,"Une salle large ou on peut déplacer les tables et les chaises

Si possible: des paperboards ""3M"" avec papier autocollants",Bruno,Sbille,ELLIBS,"http://brunosbille.com (Blog Scrum et Agile)

http://twitter.com/BrunoSbille
","Je suis dans la consultance IT et Business depuis plus de 13 ans. En plus de mes expériences de développeurs et de chef de projet, j'ai pu découvrir de nouveaux ustensiles à ajouter dans ma boîte à outils : Scrum, Agile, la PNL, le Coaching, Le ""People Management"", Diverses Techniques de Créativité etc...

Je blogue régulièrement sur Scrum, Agile et le Management. 
http://brunosbille.com (Scrum and Agile in Belgium)

J'ai également produit (à l'aide de mon équipe) cette Vidéo dont le but est de promouvoir Scrum et les méthodes Agile. http://vimeo.com/4587652 (Scrum in the real world, an AGILE movie)
",Alexis,Monville,Ayeba,"Blog : http://alexis.monville.com
Société : Ayeba - http://ayeba.fr

Twitter : http://twitter.com/alexismonville","Alexis Monville

20 ans d’expérience, depuis l’industrie automobile, l’épopée du démarrage d’Internet, le conseil, le secteur public, qui l’ont amené à fonder Ayeba, société de conseil en organisation combinant les domaines humain, management et digital pour accompagner la réussite des entreprises. Impliqué dans le monde associatif et conférencier dans les domaines du management, des méthodes agiles et du numérique.

Vous pouvez revivre l’expérience des billes rouges grâce à ce résumé vidéo enregistré lors de l’AgileTour Bordeaux : http://ayeba.fr/2011/11/experience-des-billes-rouges-2/",,,,,,,,,,,120 minutes,OK le 10/06
6/18/2012 14:29:10,"Des mots, des maux ? Démo !","Angoissé, impatient, heureux, stressé, confiant, triste, fébrile, épuisé, cool,... Vous vous sentez comment ? Demain, c'est démo !
A la fin du sprint, vient le moment de la démo : un incrément de logiciel est montré. Que se cache-t-il derrière l'apparente simplicité de cette cérémonie ? Nous nous pencherons ensemble sur différentes facettes de la revue de sprint et  proposerons quelques astuces pour la préparer et l'animer.
Parfois, ce n'est pas facile : ""on n'a pas tout fini !"", ""on développe des APIs"", ""le client n'est pas là"", ""tout le monde râle"" ... On en parlera aussi.
Bref, comment faire de vos revues de sprint des meeting avec un roti à 5 doigts !","- les débutants pourront appréhender la revue de sprint dans toutes ses dimensions. Les exemples concrets, les enseignements transmis par la communauté pourront les aider à améliorer leurs revues de sprint si besoin
- la session peut constituer une bonne ""piqure de rappel"" sur la revue de sprint pour les praticiens confirmés.","Débutant | Beginner, Confirmé | Skilled",Conférence | Conference,Amélioration Continue | Continuous Improvement,,,Caroline,Damour-Nobi,VIDAL,twitter : @Carolilo01,,Emilie,Franchomme,,twitter : @EFranchomme,,,,,,,,,,,,50 minutes,OK le 20/06
6/19/2012 0:46:35,Don Quichotte et Sancho testa,"Don Quichotte et son valet Sancho testa partent en croisade contre les moulins agiles de la non régression fonctionnelle. 

L'histoire de ce couple improbable , inventé en 1605 par l'espagnol Cervantès reste une énigme plus de 400 ans après se création :

Don Quichotte reste à l’affût des dernières techniques java qui lui permettront de vaincre les moulins agile que sont aujourd'hui sont testNg, WebDriver et Jenkins

Son fidèle valet, Sancho testa reste pragmatique et lui oppose sa lucidité de Product Owner  

","La course à l'excellence technique reste un chimère si elle ne ne sert pas l'objectivité d'un projet
","Débutant | Beginner, Confirmé | Skilled",Conférence | Conference,"Gestion de produit / portfolio Agile | Agile product/portfolio management, Amélioration Continue | Continuous Improvement, DevOps | DevOps",un max,,Laurent ,Leseigneur,SAMSE,http://sphereagile.blogspot.fr/,"Don Quichotte de l'agilité, courant après les moulins agiles",Emmanuel,Picon,SAMSE,,,,,,,,,,,,,50 minutes,OK le 20/06
6/19/2012 16:54:10,REX - Sage X3,"Où vous êtes invités à partager l'histoire d'un éditeur international de logiciels qui décide de basculer en Scrum une équipe R&D de 100 personnes sur le mode Big-Bang (ou presque). Venez découvrir le contexte de mise en oeuvre de la transition Agile :

- pourquoi a-t-il été décidé de passer à l’Agile,
- comment le changement a été admis,
- comment nous avons fait évoluer ""en douceur"" (vraiment ? ...) les processus existants,
- quels progrés l'approche Agile a permis en termes de visibilité du travail en cours, de pertinence des développements réalisés, de délais de livraison, de niveau de qualité des livrables,
- quelle place ont trouvée les managers, les qualiticiens, le support, les rédactrices et traductrices dans la nouvelle organisation Agile

","La session laissera la place au dialogue avec les participants pour débattre sur les enjeux et contraintes de départ, les appréhensions et les freins rencontrés, les pratiques expérimentées, les écueils contournés.

Et puis nous écrirons ensemble la suite de l'histoire : 
- déplacement du curseur Agile vers la direction produits, 
- initialisation d'une démarche de «Product Management» Agile,
- exercice de cartographie des cas d'utilisation et besoins du produit,
- ....

",Débutant | Beginner,REX - Retour d'Expérience | Experience Reports,"Management | Management, Gestion de produit / portfolio Agile | Agile product/portfolio management, Agile Distribué | Distributed Agile, Amélioration Continue | Continuous Improvement, DevOps | DevOps",40,RAS,Guillaume,Leclere,SAGE MGE,,"Responsable équipe R&D
Responsable du projet transverse de transition vers l'Agilité",Luc-André,Bard,Osiatis,,"Chef de Projet
Coaching et formation de plusieurs équipes Agile
Scrum Master de différents projets Agile",,,,,,,,,,,50 minutes,OK le 20/06
